titulo,idioma,sinopsis,reseña,género,documento_crudo,documento
Superman Returns,Español,Todo comienza en Superman Returns cuando una aventura vibrante cargada de acción y giros de guion constantes. Una pieza fundamental para entender este género cinematográfico.,Una experiencia cinematográfica una obra maestra del cine actual. La recomendaría.,"Aventura, Fantasía, Acción, Ciencia Ficción","Superman Returns. Español Todo comienza en Superman Returns cuando una aventura vibrante cargada de acción y giros de guion constantes. Una pieza fundamental para entender este género cinematográfico. Una experiencia cinematográfica una obra maestra del cine actual. La recomendaría. Aventura, Fantasía, Acción, Ciencia Ficción",superm returns español comienz superm returns aventur vibrant carg accion gir guion constant piez fundamental entend gener cinematograf experient cinematograf obra maestr cin actual recomend aventur fantas accion cienci ficcion
Quantum of Solace,Inglés,En la película Quantum of Solace descubrimos una relación compleja marcada por el pasado y los secretos ocultos. Una experiencia visual que no deja a nadie indiferente.,Considero que Quantum of Solace es entretenida aunque predecible en algunos puntos. La recomendaría.,"Aventura, Acción, Suspense, Crimen","Quantum of Solace. Inglés En la película Quantum of Solace descubrimos una relación compleja marcada por el pasado y los secretos ocultos. Una experiencia visual que no deja a nadie indiferente. Considero que Quantum of Solace es entretenida aunque predecible en algunos puntos. La recomendaría. Aventura, Acción, Suspense, Crimen",quantum of solac ingles pelicul quantum of solac descubr relacion complej marc pas secret ocult experient visual dej nadi indiferent consider quantum of solac entreten aunqu predec punt recomend aventur accion suspens crim
Pirates of the Caribbean: Dead Man's Chest,Español,"En la película Pirates of the Caribbean: Dead Man's Chest descubrimos un viaje emocional que pone a prueba los límites de la realidad. Sin duda, una propuesta arriesgada pero muy bien ejecutada.","Desde mi punto de vista, estamos ante una joya oculta que merece más reconocimiento. La recomendaría.","Aventura, Fantasía, Acción","Pirates of the Caribbean: Dead Man's Chest. Español En la película Pirates of the Caribbean: Dead Man's Chest descubrimos un viaje emocional que pone a prueba los límites de la realidad. Sin duda, una propuesta arriesgada pero muy bien ejecutada. Desde mi punto de vista, estamos ante una joya oculta que merece más reconocimiento. La recomendaría. Aventura, Fantasía, Acción",pirat of the caribb dead man s chest español pelicul pirat of the caribb dead man s chest descubr viaj emocional pon prueb limit realid dud propuest arriesg bien ejecut punt vist joy ocult merec reconoc recomend aventur fantas accion
The Lone Ranger,Inglés,El universo de The Lone Ranger nos muestra una relación compleja marcada por el pasado y los secretos ocultos. Ideal para los amantes del cine con un mensaje potente.,"Personalmente, la definiría como una joya oculta que merece más reconocimiento. La recomendaría.","Acción, Aventura, Western","The Lone Ranger. Inglés El universo de The Lone Ranger nos muestra una relación compleja marcada por el pasado y los secretos ocultos. Ideal para los amantes del cine con un mensaje potente. Personalmente, la definiría como una joya oculta que merece más reconocimiento. La recomendaría. Acción, Aventura, Western",the lon rang ingles univers the lon rang muestr relacion complej marc pas secret ocult ideal amant cin mensaj potent personal defin joy ocult merec reconoc recomend accion aventur western
Man of Steel,Español,En la película Man of Steel descubrimos una relación compleja marcada por el pasado y los secretos ocultos. Es una obra que invita a la reflexión profunda.,Considero que Man of Steel es una decepción comparada con las expectativas. La recomendaría.,"Acción, Aventura, Fantasía, Ciencia Ficción","Man of Steel. Español En la película Man of Steel descubrimos una relación compleja marcada por el pasado y los secretos ocultos. Es una obra que invita a la reflexión profunda. Considero que Man of Steel es una decepción comparada con las expectativas. La recomendaría. Acción, Aventura, Fantasía, Ciencia Ficción",man of steel español pelicul man of steel descubr relacion complej marc pas secret ocult obra invit reflexion profund consider man of steel decepcion compar expect recomend accion aventur fantas cienci ficcion
The Chronicles of Narnia: Prince Caspian,Inglés,"Bajo la dirección de su autor, The Chronicles of Narnia: Prince Caspian presenta un descubrimiento asombroso que redefine lo que sabían hasta ahora. Ideal para los amantes del cine con un mensaje potente.","Una experiencia cinematográfica visualmente increíble, aunque el guion flojea. La recomendaría.","Aventura, Familia, Fantasía","The Chronicles of Narnia: Prince Caspian. Inglés Bajo la dirección de su autor, The Chronicles of Narnia: Prince Caspian presenta un descubrimiento asombroso que redefine lo que sabían hasta ahora. Ideal para los amantes del cine con un mensaje potente. Una experiencia cinematográfica visualmente increíble, aunque el guion flojea. La recomendaría. Aventura, Familia, Fantasía",the chronicl of narni princ caspi ingles baj direccion autor the chronicl of narni princ caspi present descubr asombr redefin sab ahor ideal amant cin mensaj potent experient cinematograf visual increibl aunqu guion floje recomend aventur famili fantas
The Avengers,Español,Todo comienza en The Avengers cuando una lucha épica contra fuerzas que amenazan con destruirlo todo. Una experiencia visual que no deja a nadie indiferente.,Me pareció una película una obra maestra del cine actual. La recomendaría.,"Ciencia Ficción, Acción, Aventura","The Avengers. Español Todo comienza en The Avengers cuando una lucha épica contra fuerzas que amenazan con destruirlo todo. Una experiencia visual que no deja a nadie indiferente. Me pareció una película una obra maestra del cine actual. La recomendaría. Ciencia Ficción, Acción, Aventura",the avengers español comienz the avengers luch epic fuerz amenaz destru experient visual dej nadi indiferent parec pelicul obra maestr cin actual recomend cienci ficcion accion aventur
Pirates of the Caribbean: On Stranger Tides,Inglés,El universo de Pirates of the Caribbean: On Stranger Tides nos muestra una búsqueda incansable por la verdad en un mundo lleno de peligros. Es una obra que invita a la reflexión profunda.,"La crítica coincide en que es un poco lenta, pero con actuaciones brillantes. La recomendaría.","Aventura, Acción, Fantasía","Pirates of the Caribbean: On Stranger Tides. Inglés El universo de Pirates of the Caribbean: On Stranger Tides nos muestra una búsqueda incansable por la verdad en un mundo lleno de peligros. Es una obra que invita a la reflexión profunda. La crítica coincide en que es un poco lenta, pero con actuaciones brillantes. La recomendaría. Aventura, Acción, Fantasía",pirat of the caribb on strang tid ingles univers pirat of the caribb on strang tid muestr busqued incans verd mund llen peligr obra invit reflexion profund critic coincid lent actuacion brillant recomend aventur accion fantas
Men in Black 3,Español,Exploramos en Men in Black 3 la historia de una lucha épica contra fuerzas que amenazan con destruirlo todo. El cierre de la historia deja una huella imborrable en el espectador.,"Desde mi punto de vista, estamos ante una decepción comparada con las expectativas. La recomendaría.","Acción, Comedia, Ciencia Ficción","Men in Black 3. Español Exploramos en Men in Black 3 la historia de una lucha épica contra fuerzas que amenazan con destruirlo todo. El cierre de la historia deja una huella imborrable en el espectador. Desde mi punto de vista, estamos ante una decepción comparada con las expectativas. La recomendaría. Acción, Comedia, Ciencia Ficción",men in black 3 español explor men in black 3 histori luch epic fuerz amenaz destru cierr histori dej huell imborr espect punt vist decepcion compar expect recomend accion comedi cienci ficcion
The Hobbit: The Battle of the Five Armies,Inglés,Acompañamos a los personajes de The Hobbit: The Battle of the Five Armies en una relación compleja marcada por el pasado y los secretos ocultos. Es una obra que invita a la reflexión profunda.,"Tras verla, diría que es fascinante y muy bien estructurada. La recomendaría.","Acción, Aventura, Fantasía","The Hobbit: The Battle of the Five Armies. Inglés Acompañamos a los personajes de The Hobbit: The Battle of the Five Armies en una relación compleja marcada por el pasado y los secretos ocultos. Es una obra que invita a la reflexión profunda. Tras verla, diría que es fascinante y muy bien estructurada. La recomendaría. Acción, Aventura, Fantasía",the hobbit the battl of the fiv armi ingles acompañ personaj the hobbit the battl of the fiv armi relacion complej marc pas secret ocult obra invit reflexion profund tras verl dir fascin bien estructur recomend accion aventur fantas
The Amazing Spider-Man,Español,Todo comienza en The Amazing Spider-Man cuando un viaje emocional que pone a prueba los límites de la realidad. Una pieza fundamental para entender este género cinematográfico.,"Tras verla, diría que es fascinante y muy bien estructurada. La recomendaría.","Acción, Aventura, Fantasía","The Amazing Spider-Man. Español Todo comienza en The Amazing Spider-Man cuando un viaje emocional que pone a prueba los límites de la realidad. Una pieza fundamental para entender este género cinematográfico. Tras verla, diría que es fascinante y muy bien estructurada. La recomendaría. Acción, Aventura, Fantasía",the amazing spiderm español comienz the amazing spiderm viaj emocional pon prueb limit realid piez fundamental entend gener cinematograf tras verl dir fascin bien estructur recomend accion aventur fantas
Robin Hood,Inglés,"Exploramos en Robin Hood la historia de una lucha épica contra fuerzas que amenazan con destruirlo todo. Sin duda, una propuesta arriesgada pero muy bien ejecutada.","Considero que Robin Hood es un poco lenta, pero con actuaciones brillantes. La recomendaría.","Acción, Aventura","Robin Hood. Inglés Exploramos en Robin Hood la historia de una lucha épica contra fuerzas que amenazan con destruirlo todo. Sin duda, una propuesta arriesgada pero muy bien ejecutada. Considero que Robin Hood es un poco lenta, pero con actuaciones brillantes. La recomendaría. Acción, Aventura",robin hood ingles explor robin hood histori luch epic fuerz amenaz destru dud propuest arriesg bien ejecut consider robin hood lent actuacion brillant recomend accion aventur
The Hobbit: The Desolation of Smaug,Español,La trama de The Hobbit: The Desolation of Smaug nos sumerge en una aventura vibrante cargada de acción y giros de guion constantes. El desenlace resulta sorprendente y muy satisfactorio.,Me pareció una película una joya oculta que merece más reconocimiento. La recomendaría.,"Aventura, Fantasía","The Hobbit: The Desolation of Smaug. Español La trama de The Hobbit: The Desolation of Smaug nos sumerge en una aventura vibrante cargada de acción y giros de guion constantes. El desenlace resulta sorprendente y muy satisfactorio. Me pareció una película una joya oculta que merece más reconocimiento. La recomendaría. Aventura, Fantasía",the hobbit the desolation of smaug español tram the hobbit the desolation of smaug sumerg aventur vibrant carg accion gir guion constant desenlac result sorprendent satisfactori parec pelicul joy ocult merec reconoc recomend aventur fantas
The Golden Compass,Inglés,En la película The Golden Compass descubrimos un descubrimiento asombroso que redefine lo que sabían hasta ahora. Ideal para los amantes del cine con un mensaje potente.,La crítica coincide en que es entretenida aunque predecible en algunos puntos. La recomendaría.,"Aventura, Fantasía","The Golden Compass. Inglés En la película The Golden Compass descubrimos un descubrimiento asombroso que redefine lo que sabían hasta ahora. Ideal para los amantes del cine con un mensaje potente. La crítica coincide en que es entretenida aunque predecible en algunos puntos. La recomendaría. Aventura, Fantasía",the gold compass ingles pelicul the gold compass descubr descubr asombr redefin sab ahor ideal amant cin mensaj potent critic coincid entreten aunqu predec punt recomend aventur fantas
King Kong,Español,Exploramos en King Kong la historia de un conflicto inesperado que cambia el destino de todos. Es una obra que invita a la reflexión profunda.,No cabe duda de que es impactante y llena de fuerza narrativa. La recomendaría.,"Aventura, Drama, Acción","King Kong. Español Exploramos en King Kong la historia de un conflicto inesperado que cambia el destino de todos. Es una obra que invita a la reflexión profunda. No cabe duda de que es impactante y llena de fuerza narrativa. La recomendaría. Aventura, Drama, Acción",king kong español explor king kong histori conflict inesper cambi destin obra invit reflexion profund cab dud impact llen fuerz narrat recomend aventur dram accion
Titanic,Inglés,En la película Titanic descubrimos una serie de eventos misteriosos que mantienen el suspense hasta el final. El cierre de la historia deja una huella imborrable en el espectador.,"Una experiencia cinematográfica un poco lenta, pero con actuaciones brillantes. La recomendaría.","Drama, Romance, Suspense","Titanic. Inglés En la película Titanic descubrimos una serie de eventos misteriosos que mantienen el suspense hasta el final. El cierre de la historia deja una huella imborrable en el espectador. Una experiencia cinematográfica un poco lenta, pero con actuaciones brillantes. La recomendaría. Drama, Romance, Suspense",titanic ingles pelicul titanic descubr seri event misteri mantien suspens final cierr histori dej huell imborr espect experient cinematograf lent actuacion brillant recomend dram romanc suspens
Captain America: Civil War,Español,La trama de Captain America: Civil War nos sumerge en una lucha épica contra fuerzas que amenazan con destruirlo todo. Destaca por su originalidad y su ritmo narrativo.,Me pareció una película una obra maestra del cine actual. La recomendaría.,"Aventura, Acción, Ciencia Ficción","Captain America: Civil War. Español La trama de Captain America: Civil War nos sumerge en una lucha épica contra fuerzas que amenazan con destruirlo todo. Destaca por su originalidad y su ritmo narrativo. Me pareció una película una obra maestra del cine actual. La recomendaría. Aventura, Acción, Ciencia Ficción",captain amer civil war español tram captain amer civil war sumerg luch epic fuerz amenaz destru destac original ritm narrat parec pelicul obra maestr cin actual recomend aventur accion cienci ficcion
Battleship,Inglés,"La trama de Battleship nos sumerge en un conflicto inesperado que cambia el destino de todos. Sin duda, una propuesta arriesgada pero muy bien ejecutada.",No cabe duda de que es una decepción comparada con las expectativas. La recomendaría.,"Suspense, Acción, Aventura, Ciencia Ficción","Battleship. Inglés La trama de Battleship nos sumerge en un conflicto inesperado que cambia el destino de todos. Sin duda, una propuesta arriesgada pero muy bien ejecutada. No cabe duda de que es una decepción comparada con las expectativas. La recomendaría. Suspense, Acción, Aventura, Ciencia Ficción",battleship ingles tram battleship sumerg conflict inesper cambi destin dud propuest arriesg bien ejecut cab dud decepcion compar expect recomend suspens accion aventur cienci ficcion
Jurassic World,Español,Exploramos en Jurassic World la historia de una búsqueda incansable por la verdad en un mundo lleno de peligros. Destaca por su originalidad y su ritmo narrativo.,"Una experiencia cinematográfica visualmente increíble, aunque el guion flojea. La recomendaría.","Acción, Aventura, Ciencia Ficción, Suspense","Jurassic World. Español Exploramos en Jurassic World la historia de una búsqueda incansable por la verdad en un mundo lleno de peligros. Destaca por su originalidad y su ritmo narrativo. Una experiencia cinematográfica visualmente increíble, aunque el guion flojea. La recomendaría. Acción, Aventura, Ciencia Ficción, Suspense",jurassic world español explor jurassic world histori busqued incans verd mund llen peligr destac original ritm narrat experient cinematograf visual increibl aunqu guion floje recomend accion aventur cienci ficcion suspens
Skyfall,Inglés,"Bajo la dirección de su autor, Skyfall presenta una relación compleja marcada por el pasado y los secretos ocultos. El cierre de la historia deja una huella imborrable en el espectador.","Tras verla, diría que es fascinante y muy bien estructurada. La recomendaría.","Acción, Aventura, Suspense","Skyfall. Inglés Bajo la dirección de su autor, Skyfall presenta una relación compleja marcada por el pasado y los secretos ocultos. El cierre de la historia deja una huella imborrable en el espectador. Tras verla, diría que es fascinante y muy bien estructurada. La recomendaría. Acción, Aventura, Suspense",skyfall ingles baj direccion autor skyfall present relacion complej marc pas secret ocult cierr histori dej huell imborr espect tras verl dir fascin bien estructur recomend accion aventur suspens
Spider-Man 2,Español,Acompañamos a los personajes de Spider-Man 2 en un viaje emocional que pone a prueba los límites de la realidad. Es una obra que invita a la reflexión profunda.,Me pareció una película fascinante y muy bien estructurada. La recomendaría.,"Acción, Aventura, Fantasía","Spider-Man 2. Español Acompañamos a los personajes de Spider-Man 2 en un viaje emocional que pone a prueba los límites de la realidad. Es una obra que invita a la reflexión profunda. Me pareció una película fascinante y muy bien estructurada. La recomendaría. Acción, Aventura, Fantasía",spiderm 2 español acompañ personaj spiderm 2 viaj emocional pon prueb limit realid obra invit reflexion profund parec pelicul fascin bien estructur recomend accion aventur fantas
Iron Man 3,Inglés,El universo de Iron Man 3 nos muestra una búsqueda incansable por la verdad en un mundo lleno de peligros. El cierre de la historia deja una huella imborrable en el espectador.,Me pareció una película una obra maestra del cine actual. La recomendaría.,"Acción, Aventura, Ciencia Ficción","Iron Man 3. Inglés El universo de Iron Man 3 nos muestra una búsqueda incansable por la verdad en un mundo lleno de peligros. El cierre de la historia deja una huella imborrable en el espectador. Me pareció una película una obra maestra del cine actual. La recomendaría. Acción, Aventura, Ciencia Ficción",iron man 3 ingles univers iron man 3 muestr busqued incans verd mund llen peligr cierr histori dej huell imborr espect parec pelicul obra maestr cin actual recomend accion aventur cienci ficcion
Alice in Wonderland,Español,El universo de Alice in Wonderland nos muestra una lucha épica contra fuerzas que amenazan con destruirlo todo. Una pieza fundamental para entender este género cinematográfico.,No cabe duda de que es una obra maestra del cine actual. La recomendaría.,"Familia, Fantasía, Aventura","Alice in Wonderland. Español El universo de Alice in Wonderland nos muestra una lucha épica contra fuerzas que amenazan con destruirlo todo. Una pieza fundamental para entender este género cinematográfico. No cabe duda de que es una obra maestra del cine actual. La recomendaría. Familia, Fantasía, Aventura",alic in wonderland español univers alic in wonderland muestr luch epic fuerz amenaz destru piez fundamental entend gener cinematograf cab dud obra maestr cin actual recomend famili fantas aventur
X-Men: The Last Stand,Inglés,El universo de X-Men: The Last Stand nos muestra un viaje emocional que pone a prueba los límites de la realidad. Es una obra que invita a la reflexión profunda.,"Me pareció una película visualmente increíble, aunque el guion flojea. La recomendaría.","Aventura, Acción, Ciencia Ficción, Suspense","X-Men: The Last Stand. Inglés El universo de X-Men: The Last Stand nos muestra un viaje emocional que pone a prueba los límites de la realidad. Es una obra que invita a la reflexión profunda. Me pareció una película visualmente increíble, aunque el guion flojea. La recomendaría. Aventura, Acción, Ciencia Ficción, Suspense",xmen the last stand ingles univers xmen the last stand muestr viaj emocional pon prueb limit realid obra invit reflexion profund parec pelicul visual increibl aunqu guion floje recomend aventur accion cienci ficcion suspens
Monsters University,Español,En la película Monsters University descubrimos un conflicto inesperado que cambia el destino de todos. El desenlace resulta sorprendente y muy satisfactorio.,Una experiencia cinematográfica una joya oculta que merece más reconocimiento. La recomendaría.,"Animación, Familia","Monsters University. Español En la película Monsters University descubrimos un conflicto inesperado que cambia el destino de todos. El desenlace resulta sorprendente y muy satisfactorio. Una experiencia cinematográfica una joya oculta que merece más reconocimiento. La recomendaría. Animación, Familia",monsters university español pelicul monsters university descubr conflict inesper cambi destin desenlac result sorprendent satisfactori experient cinematograf joy ocult merec reconoc recomend anim famili
Transformers: Revenge of the Fallen,Inglés,En la película Transformers: Revenge of the Fallen descubrimos una relación compleja marcada por el pasado y los secretos ocultos. Es una obra que invita a la reflexión profunda.,"Me pareció una película un poco lenta, pero con actuaciones brillantes. La recomendaría.","Ciencia Ficción, Acción, Aventura","Transformers: Revenge of the Fallen. Inglés En la película Transformers: Revenge of the Fallen descubrimos una relación compleja marcada por el pasado y los secretos ocultos. Es una obra que invita a la reflexión profunda. Me pareció una película un poco lenta, pero con actuaciones brillantes. La recomendaría. Ciencia Ficción, Acción, Aventura",transformers reveng of the fall ingles pelicul transformers reveng of the fall descubr relacion complej marc pas secret ocult obra invit reflexion profund parec pelicul lent actuacion brillant recomend cienci ficcion accion aventur
Transformers: Age of Extinction,Español,"Bajo la dirección de su autor, Transformers: Age of Extinction presenta un viaje emocional que pone a prueba los límites de la realidad. Es una obra que invita a la reflexión profunda.",La crítica coincide en que es impactante y llena de fuerza narrativa. La recomendaría.,"Ciencia Ficción, Acción, Aventura","Transformers: Age of Extinction. Español Bajo la dirección de su autor, Transformers: Age of Extinction presenta un viaje emocional que pone a prueba los límites de la realidad. Es una obra que invita a la reflexión profunda. La crítica coincide en que es impactante y llena de fuerza narrativa. La recomendaría. Ciencia Ficción, Acción, Aventura",transformers age of extinction español baj direccion autor transformers age of extinction present viaj emocional pon prueb limit realid obra invit reflexion profund critic coincid impact llen fuerz narrat recomend cienci ficcion accion aventur
Oz: The Great and Powerful,Inglés,Todo comienza en Oz: The Great and Powerful cuando una serie de eventos misteriosos que mantienen el suspense hasta el final. El desenlace resulta sorprendente y muy satisfactorio.,Me pareció una película impactante y llena de fuerza narrativa. La recomendaría.,"Fantasía, Aventura, Familia","Oz: The Great and Powerful. Inglés Todo comienza en Oz: The Great and Powerful cuando una serie de eventos misteriosos que mantienen el suspense hasta el final. El desenlace resulta sorprendente y muy satisfactorio. Me pareció una película impactante y llena de fuerza narrativa. La recomendaría. Fantasía, Aventura, Familia",oz the great and powerful ingles comienz oz the great and powerful seri event misteri mantien suspens final desenlac result sorprendent satisfactori parec pelicul impact llen fuerz narrat recomend fantas aventur famili
The Amazing Spider-Man 2,Español,En la película The Amazing Spider-Man 2 descubrimos un descubrimiento asombroso que redefine lo que sabían hasta ahora. Es una obra que invita a la reflexión profunda.,No cabe duda de que es impactante y llena de fuerza narrativa. La recomendaría.,"Acción, Aventura, Fantasía","The Amazing Spider-Man 2. Español En la película The Amazing Spider-Man 2 descubrimos un descubrimiento asombroso que redefine lo que sabían hasta ahora. Es una obra que invita a la reflexión profunda. No cabe duda de que es impactante y llena de fuerza narrativa. La recomendaría. Acción, Aventura, Fantasía",the amazing spiderm 2 español pelicul the amazing spiderm 2 descubr descubr asombr redefin sab ahor obra invit reflexion profund cab dud impact llen fuerz narrat recomend accion aventur fantas
TRON: Legacy,Inglés,El universo de TRON: Legacy nos muestra un viaje emocional que pone a prueba los límites de la realidad. El cierre de la historia deja una huella imborrable en el espectador.,"Tras verla, diría que es impactante y llena de fuerza narrativa. La recomendaría.","Aventura, Acción, Ciencia Ficción","TRON: Legacy. Inglés El universo de TRON: Legacy nos muestra un viaje emocional que pone a prueba los límites de la realidad. El cierre de la historia deja una huella imborrable en el espectador. Tras verla, diría que es impactante y llena de fuerza narrativa. La recomendaría. Aventura, Acción, Ciencia Ficción",tron legacy ingles univers tron legacy muestr viaj emocional pon prueb limit realid cierr histori dej huell imborr espect tras verl dir impact llen fuerz narrat recomend aventur accion cienci ficcion
